SUB_TYPE,FOLDER_NAME,EVENT_MONTH,EVENT_YEAR,AMPLIFIED_SOUND_DISTRICT,CALENDAR_YEAR_FOLDER_CREATED,CAPACITY,DECIBEL_LEVEL,END_HOURS_CONC_POUR_MON_SAT,END_HOURS_MOV_VEH_MON_SAT,END_HOURS_MOV_VEH_SUN,END_HOURS_NEAR_HOME_FRI_SAT,END_HOURS_NEAR_HOME_SUN_THUR,END_HOURS_NOT_NEAR_HOME,EXISTING_ZONING,EXPIRATION_DATE,IN_DATE,ISSUE_DATE,OMV_FRI_END_TIME,OMV_FRI_START_TIME,OMV_MON_END_TIME,OMV_MON_START_TIME,OMV_SAT_END_TIME,OMV_SAT_START_TIME,OMV_SUN_END_TIME,OMV_SUN_START_TIME,OMV_THU_END_TIME,OMV_THU_START_TIME,OMV_TUE_END_TIME,OMV_TUE_START_TIME,OMV_WED_END_TIME,OMV_WED_START_TIME,PROPERTYRSN,REST_51_PERCENT_FOOD_SALES,SQUARE_FOOTAGE,START_DATE,START_DATE_2,START_DATE_3,START_DATE_4,START_HOURS_CONC_POUR_MON_SAT,START_HOURS_MOV_VEH_MON_SAT,START_HOURS_MOV_VEH_SUN,START_HOURS_NEAR_HOME_FRI_SAT,START_HOURS_NEAR_HOME_SUN_THUR,START_HOURS_NOT_NEAR_HOME,STATUS,STREET_ADDRESS,ZIPCODE,LATITUDE,LONGITUDE,COUNCIL_DISTRICT,LOCATION,PERMIT_NUMBER
Outdoor Music Venue,616 NUECES ST,,,Other,2011,49,70,,,,,,,CBD - CENTRAL BUSINESS DISTRICT,,2011-09-14,2011-10-06,Midnight,10:00 a.m.,10:00 p.m.,10:00 a.m.,Midnight,10:00 a.m.,10:00 p.m.,10:00 a.m.,11:00 p.m.,10:00 a.m.,10:00 p.m.,10:00 a.m.,10:00 p.m.,10:00 a.m.,129002,Yes,1200,,,,,,,,,,,Expired,616  NUECES ST,78701,30.27044469,-97.74830369,9,"(30.27044469,-97.74830369)",2011-082670 SO
Outdoor Music Venue,Opal Divine's Freehouse,,,Other,2010,229,85,,,,,,,GR - COMMUNITY COMMERCIAL,,2010-01-28,2010-03-16,Midnight,,10:30 p.m.,,Midnight,,10:30 p.m.,,11:00 p.m.,,10:30 p.m.,,10:30 p.m.,,128924,No,3000,,,,,,,,,,,Expired,700  6TH ST,78701,30.27020584,-97.74968842,9,"(30.27020584,-97.74968842)",2010-007874 SO
Outdoor Music Venue,Opal Divines Freehouse,,,Other,2011,229,85,,,,,,,GR - COMMUNITY COMMERCIAL,,2011-03-01,2011-04-27,Midnight,,10:00 p.m.,,Midnight,,10:00 p.m.,,11:00 p.m.,,10:00 p.m.,,10:00 p.m.,,128924,No,3000,,,,,,,,,,,Expired,700  6TH ST,78701,30.27020584,-97.74968842,9,"(30.27020584,-97.74968842)",2011-015633 SO
Outdoor Music Venue,OPAL DIVINES FREEHOUSE,,,Other,2012,229,85,,,,,,,GR - COMMUNITY COMMERCIAL,,2012-04-10,2012-04-30,Midnight,10:00 a.m.,10:00 p.m.,10:00 a.m.,Midnight,10:00 a.m.,10:00 p.m.,10:00 a.m.,11:00 p.m.,10:00 a.m.,10:00 p.m.,10:00 a.m.,10:00 p.m.,10:00 a.m.,128924,No,3000,,,,,,,,,,,Expired,700  6TH ST,78701,30.27020584,-97.74968842,9,"(30.27020584,-97.74968842)",2012-034227 SO
Advertising Sound Amplification,Louisiana Swamp Thing & Crawfish Festival/JMBLYA/Derby In The City,APRIL,2016,Other,2016,,85,,,,,,10:30pm,PUD - PLANNED UNIT DEVELOPMENT,2016-05-14,2016-01-26,2016-03-03,,,,,,,,,,,,,,,283071,,,2016-04-23,2016-05-07,2016-05-14,,,,,,,11:00am,Expired,305  CONGRESS AVE,78704,30.25882293,-97.74400192,9,"(30.25882293,-97.74400192)",2016-008439 SO
Private Sound Amplification,305 S CONGRESS AVENUE,MARCH,2018,Other,2018,,85,,,,,,1PM,PUD - PLANNED UNIT DEVELOPMENT,2018-03-24,2018-03-19,2018-03-19,,,,,,,,,,,,,,,283071,,,2018-03-24,,,,,,,,,10am,Expired,305  CONGRESS AVE,78704,30.25882293,-97.74400192,9,"(30.25882293,-97.74400192)",2018-055271 SO
Outdoor Music Venue,Baby Acapulco Mexican Restaurant,,,Other,2009,171,70,,,,,,,CS - GENERAL COMMERCIAL,,2009-08-26,2009-11-05,10:00 p.m.,,8:30 p.m.,,10:00 p.m.,,8:30 p.m.,,8:30 p.m.,,8:30 p.m.,,8:30 p.m.,,690806,Yes,2100,,,,,,,,,,,Expired,1628  BARTON SPRINGS RD,78704,30.26305996,-97.76237878,9,"(30.26305996,-97.76237878)",2009-096523 SO
Outdoor Music Venue,Paggi House (renewal),,,Other,2010,190,70,,,,,,,CS - GENERAL COMMERCIAL,,2010-02-10,2010-03-15,10:00 p.m.,,9:00 p.m.,,10:00 p.m.,,3:00 p.m.,,9:00 p.m.,,9:00 p.m.,,9:00 p.m.,,224751,Yes,2260,,,,,,,,,,,Expired,200  LEE BARTON DR,78704,30.2635246,-97.75675683,9,"(30.2635246,-97.75675683)",2010-011187 SO
Advertising Sound Amplification,506 WEST AVE,MARCH,2010,Other,2010,248,70,,,,,,9:00 p.m.,CBD - CENTRAL BUSINESS DISTRICT,2010-03-17,2010-03-17,2010-03-17,,,,,,,,,,,,,,,128600,Yes,3000,2010-03-17,,,,,,,,,11:00 a.m.,Expired,506  WEST AVE,78703,30.26984493,-97.75115879,9,"(30.26984493,-97.75115879)",2010-022406 SO
Outdoor Music Venue,Beauty Bar,,,6th Street District,2009,275,85,,,,,,,CBD - CENTRAL BUSINESS DISTRICT,,2009-12-23,2010-03-02,2:00 a.m.,,2:00 a.m.,,2:00 a.m.,,2:00 a.m.,,2:00 a.m.,,2:00 a.m.,,2:00 a.m.,,200984,No,4500,,,,,,,,,,,Expired,617  7TH ST,78701,30.26695859,-97.73612865,9,"(30.26695859,-97.73612865)",2009-139984 SO
Advertising Sound Amplification,Beauty Bar,SEPTEMBER,2011,6th Street District,2011,275,85,,,,,,1:30 A.M.,CBD - CENTRAL BUSINESS DISTRICT,2011-09-18,2011-08-17,2011-09-15,,,,,,,,,,,,,,,200984,No,4500,2011-09-15,2011-09-16,2011-09-17,2011-09-18,,,,,,8:00 P.M.,Expired,617  7TH ST,78701,30.26695859,-97.73612865,9,"(30.26695859,-97.73612865)",2011-073127 SO
Advertising Sound Amplification,Beauty Bar,MARCH,2012,6th Street District,2012,,85,,,,,,2:00 a.m.,CBD - CENTRAL BUSINESS DISTRICT,2012-03-17,2012-02-07,,,,,,,,,,,,,,,,200984,,,2012-03-14,2012-03-15,2012-03-16,2012-03-17,,,,,,Noon,Pending,617  7TH ST,78701,30.26695859,-97.73612865,9,"(30.26695859,-97.73612865)",2012-011777 SO
Outdoor Music Venue,Union Park,,,Other,2010,214,85,,,,,,,CBD - CENTRAL BUSINESS DISTRICT,,2010-05-06,2010-10-19,Midnight,,10:00 p.m.,,Midnight,,10:00 p.m.,,11:00 p.m.,,10:00 p.m.,,10:00 p.m.,,428186,No,2039,,,,,,,,,,,Expired,612  6TH ST,78701,30.27013125,-97.74899016,9,"(30.27013125,-97.74899016)",2010-039183 SO
Outdoor Music Venue,Cheers Shot Bar,,,6th Street District,2022,See Load Cards,85,,,,,,,CBD - CENTRAL BUSINESS DISTRICT,,2022-09-12,2022-10-04,2:00am,10:00am,2:00am,10:00am,2:00am,10:00am,2:00am,10:00am,2:00am,10:00am,2:00am,10:00am,2:00am,10:00am,675244,No,1,,,,,,,,,,,Expired,416  6TH ST,78701,30.26720834,-97.73854583,9,"(30.26720834,-97.73854583)",2022-138401 SO
Advertising Sound Amplification,LIVE NATION MUSIC,MARCH,2012,6th Street District,2012,,85,,,,,,2:00 A.M.,CBD - CENTRAL BUSINESS DISTRICT,2012-03-17,2012-02-09,,,,,,,,,,,,,,,,200642,,,2012-03-14,2012-03-15,2012-03-16,2012-03-17,,,,,,10:00 A.M.,Pending,522  6TH ST,78701,30.26680372,-97.73730833,9,"(30.26680372,-97.73730833)",2012-012697 SO
Advertising Sound Amplification,Pecan Street Festival Spring 2016,MAY,2016,Other,2016,,85,,,,,,10:00pm,CBD - CENTRAL BUSINESS DISTRICT,2016-05-08,2016-04-21,,,,,,,,,,,,,,,,200948,,,2016-05-07,2016-05-08,,,,,,,,Noon,In Review,409  7TH ST,78701,30.26756605,-97.73828274,9,"(30.26756605,-97.73828274)",2016-045680 SO
Outdoor Music Venue,The Alibi,,,Other,2017,See load cards,75,,,,,,,CBD - CENTRAL BUSINESS DISTRICT,,2017-12-07,2018-02-05,Midnight,10:00AM,10:30PM,10:00AM,Midnight,10:00AM,10:30PM,10:00AM,11:00PM,10:00AM,10:30PM,10:00AM,10:30PM,10:00AM,92510,No,1,,,,,,,,,,,Expired,96  RAINEY ST,78701,30.2608464,-97.73825424,9,"(30.2608464,-97.73825424)",2017-152686 SO
Outdoor Music Venue,The Alibi,,,Other,2019,See load cards,75,,,,,,,CBD - CENTRAL BUSINESS DISTRICT,,2019-05-22,,Midnight,10:00AM,10:30PM,10:00AM,Midnight,10:00AM,10:30PM,10:00AM,11:00PM,10:00AM,10:30PM,10:00AM,10:30PM,10:00AM,92510,No,1,,,,,,,,,,,In Review,96  RAINEY ST,78701,30.2608464,-97.73825424,9,"(30.2608464,-97.73825424)",2019-079954 SO
Outdoor Music Venue,The Alibi,,,Other,2020,See Load Cards,75,,,,,,,CBD,,2020-08-10,2020-10-02,12:00AM,10:00AM,10:30PM,10:00AM,12:00AM,10:00AM,10:30PM,10:00AM,11:00PM,10:00AM,10:30PM,10:00AM,10:30PM,10:00AM,92510,No,2887,,,,,,,,,,,Expired,96  RAINEY ST,78701,30.2608464,-97.73825424,9,"(30.2608464,-97.73825424)",2020-118622 SO
Outdoor Music Venue,Placeholder,,,Other,2021,See Load Cards,75,,,,,,,CBD,,2021-11-18,2021-12-17,12:00AM,10:00AM,10:30PM,10:00AM,12:00AM,10:00AM,10:30PM,10:00AM,11:00PM,10:00AM,10:30PM,10:00AM,10:30PM,10:00AM,92510,No,2887,,,,,,,,,,,Expired,96  RAINEY ST,78701,30.2608464,-97.73825424,9,"(30.2608464,-97.73825424)",2021-190535 SO
Outdoor Music Venue,Placeholder,,,Other,2022,See Load Cards,75,,,,,,,CBD,,2022-12-09,2023-02-06,12:00AM,10:00AM,10:30PM,10:00AM,12:00AM,10:00AM,10:30PM,10:00AM,11:00PM,10:00AM,10:30PM,10:00AM,10:30PM,10:00AM,92510,No,2887,,,,,,,,,,,Expired,96  RAINEY ST,78701,30.2608464,-97.73825424,9,"(30.2608464,-97.73825424)",2022-178284 SO
Private Sound Amplification,407 RADAM LN,NOVEMBER,2017,Within 600 ft of Residential,2017,,80,,,,10:00pm,,,IP - INDUSTRIAL PARK,2017-11-18,2017-11-16,2017-11-16,,,,,,,,,,,,,,,749042,,,2017-11-18,,,,,,,7:00pm,,,Expired,407  RADAM LN,78745,30.22303999,-97.76978443,3,"(30.22303999,-97.76978443)",2017-144944 SO
Private Sound Amplification,407 RADAM LANE,NOVEMBER,2018,Within 600 ft of Residential,2018,,85,,,,10PM,,,IP-CO-NP,2018-11-17,2018-10-18,2018-11-15,,,,,,,,,,,,,,,749042,,,2018-11-17,,,,,,,7PM,,,Expired,407  RADAM LN,78745,30.22303999,-97.76978443,3,"(30.22303999,-97.76978443)",2018-182596 SO
Outdoor Music Venue,Rustic Tap / Hoffbrau Steakhouse,,,Other,2016,126 outside,70,,,,,,,CBD - CENTRAL BUSINESS DISTRICT,,2016-06-27,2016-08-12,12:00AM,10:00AM,10:30PM,10:00AM,12:00AM,10:00AM,10:30PM,10:00AM,11:00PM,10:00AM,10:30PM,10:00AM,10:30PM,10:00AM,128828,No,2447,,,,,,,,,,,Expired,613  6TH ST,78701,30.26957943,-97.74917603,9,"(30.26957943,-97.74917603)",2016-075426 SO
Outdoor Music Venue,Rustic Tap / Hoffbrau Steakhouse,,,Other,2018,See Load Cards,70,,,,,,,CBD - CENTRAL BUSINESS DISTRICT,,2018-07-26,2018-08-09,12:00AM,10:00AM,10:30PM,10:00AM,12:00AM,10:00AM,10:30PM,10:00AM,11:00PM,10:00AM,10:30PM,10:00AM,10:30PM,10:00AM,128828,No,2447,,,,,,,,,,,Expired,613  6TH ST,78701,30.26957943,-97.74917603,9,"(30.26957943,-97.74917603)",2018-126289 SO
Outdoor Music Venue,Rustic Tap / Hoffbrau Steakhouse,,,Other,2020,See Load Cards,70,,,,,,,CBD - CENTRAL BUSINESS DISTRICT,,2020-02-12,2020-06-22,12:00AM,10:00AM,10:30PM,10:00AM,12:00AM,10:00AM,10:30PM,10:00AM,11:00PM,10:00AM,10:30PM,10:00AM,10:30PM,10:00AM,128828,Yes,2447,,,,,,,,,,,Expired,613  6TH ST,78701,30.26957943,-97.74917603,9,"(30.26957943,-97.74917603)",2020-021426 SO
Private Sound Amplification,2401 E CESAR CHAVEZ ST,APRIL,2017,Within 600 ft of Residential,2017,,70,,,,3:30pm,,,CS - GENERAL COMMERCIAL,2017-04-01,2017-03-29,2017-03-29,,,,,,,,,,,,,,,5118598,,,2017-04-01,,,,,,,11:30am,,,Expired,2401  CESAR CHAVEZ ST,78702,30.25450529,-97.71761984,3,"(30.25450529,-97.71761984)",2017-036684 SO
Outdoor Music Venue,The Mohawk,,,Other,2010,328,85,,,,,,,CS - GENERAL COMMERCIAL,,2010-01-05,2010-01-28,Midnight,,10:30 p.m.,,Midnight,,10:30 p.m.,,11:00 p.m.,,10:30 p.m.,,10:30 p.m.,,272666,No,4073,,,,,,,,,,,Expired,912  RED RIVER ST,78701,30.27004695,-97.73611528,9,"(30.27004695,-97.73611528)",2010-000544 SO
Outdoor Music Venue,The Mohawk,,,Other,2011,328,85,,,,,,,CS - GENERAL COMMERCIAL,,2011-02-01,2011-04-12,Midnight,,10:30 p.m.,,Midnight,,10:30 p.m.,,11:00 p.m.,,10:30 p.m.,,10:30 p.m.,,272666,No,4073,,,,,,,,,,,Expired,912  RED RIVER ST,78701,30.27004695,-97.73611528,9,"(30.27004695,-97.73611528)",2011-008203 SO
Outdoor Music Venue,The Mohawk,,,Other,2013,328,85,,,,,,,CS - GENERAL COMMERCIAL,,2013-02-05,2013-03-08,Midnight,10:00am,10:30 p.m.,10:00am,Midnight,10:00am,10:30 p.m.,10:00am,11:00 p.m.,10:00am,10:30 p.m.,10:00am,10:30 p.m.,10:00am,272666,No,4073,,,,,,,,,,,Expired,912  RED RIVER ST,78701,30.27004695,-97.73611528,9,"(30.27004695,-97.73611528)",2013-011501 SO
Outdoor Music Venue,The Mohawk,,,Other,2014,328,85,,,,,,,CS - GENERAL COMMERCIAL,,2014-02-11,2014-03-07,Midnight,10:00am,10:30 p.m.,10:00am,Midnight,10:00am,10:30 p.m.,10:00am,11:00 p.m.,10:00am,10:30 p.m.,10:00am,10:30 p.m.,10:00am,272666,No,4073,,,,,,,,,,,Expired,912  RED RIVER ST,78701,30.27004695,-97.73611528,9,"(30.27004695,-97.73611528)",2014-012714 SO
Outdoor Music Venue,"Mohawk, The",,,Other,2015,328,85,,,,,,,CS - GENERAL COMMERCIAL,,2015-02-02,2015-03-07,Midnight,10:00am,10:30 p.m.,10:00am,Midnight,10:00am,10:30 p.m.,10:00am,11:00 p.m.,10:00am,10:30 p.m.,10:00am,10:30 p.m.,10:00am,272666,No,4073,,,,,,,,,,,Expired,912  RED RIVER ST,78701,30.27004695,-97.73611528,9,"(30.27004695,-97.73611528)",2015-012098 SO
Outdoor Music Venue,Mohawk,,,Other,2016,328,85,,,,,,,CS - GENERAL COMMERCIAL,,2016-01-21,2016-03-10,Midnight,10:00am,10:30 p.m.,10:00am,Midnight,10:00am,10:30 p.m.,10:00am,11:00 p.m.,10:00am,10:30 p.m.,10:00am,10:30 p.m.,10:00am,272666,No,4073,,,,,,,,,,,Expired,912  RED RIVER ST,78701,30.27004695,-97.73611528,9,"(30.27004695,-97.73611528)",2016-007056 SO
Private Sound Amplification,1001 E 6TH ST,MAY,2011,Other,2011,,85,,,,,,9:00 p.m.,TOD - TRANSIT ORIENTED DEVELOPMENT ZONING,2011-06-03,2011-05-04,2011-05-19,,,,,,,,,,,,,,,401324,,,2011-05-27,2011-05-28,2011-05-29,2011-06-03,,,,,,10:00 am,Expired,1001  6TH ST,78702,30.26483503,-97.73245338,3,"(30.26483503,-97.73245338)",2011-038279 SO
Advertising Sound Amplification,1001 E 6TH ST,OCTOBER,2011,Other,2011,,85,,,,,,10:30 pm,TOD - TRANSIT ORIENTED DEVELOPMENT ZONING,2011-10-15,2011-10-07,2011-10-07,,,,,,,,,,,,,,,401324,,,2011-10-15,,,,,,,,,6:30 pm,Expired,1001  6TH ST,78702,30.26483503,-97.73245338,3,"(30.26483503,-97.73245338)",2011-090981 SO
Advertising Sound Amplification,1100 E 5TH ST,MARCH,2012,Other,2012,,85,,,,7:00 p.m.,7:00 p.m.,,TOD-NP,2012-03-17,2012-02-07,,,,,,,,,,,,,,,,401186,,,2012-03-14,2012-03-15,2012-03-16,2012-03-17,,,,12:00 p.m.,12:00 p.m.,,Pending,1100  5TH ST,78702,30.26394522,-97.73170426,3,"(30.26394522,-97.73170426)",2012-011799 SO
Advertising Sound Amplification,1.1E+06,MARCH,2013,Other,2013,,85,,,,Midnight,11:00pm,,TOD - TRANSIT ORIENTED DEVELOPMENT ZONING,2013-03-16,2013-01-23,2013-04-02,,,,,,,,,,,,,,,401186,,,2013-03-13,2013-03-14,2013-03-15,2013-03-16,,,,11:00am,11:00am,,Expired,1100  5TH ST,78702,30.26394522,-97.73170426,3,"(30.26394522,-97.73170426)",2013-006629 SO
Outdoor Music Venue,J. Black's Feel Good Lounge,,,Other,2011,240,85,,,,,,,CBD - CENTRAL BUSINESS DISTRICT,,2011-05-10,2011-06-02,Midnight,,10:00 p.m.,,Midnight,,10:00 p.m.,,11:00 p.m.,,10:00 p.m.,,10:00 p.m.,,3381513,No,4228,,,,,,,,,,,Expired,710  6TH ST,78701,30.27025454,-97.75005784,9,"(30.27025454,-97.75005784)",2011-039989 SO
Outdoor Music Venue,J. Black's Feel Good Lounge,,,Other,2012,240,85,,,,,,,CBD - CENTRAL BUSINESS DISTRICT,,2012-06-11,2012-09-10,Midnight,11:00 am,10:30 pm,4:00 pm,Midnight,11:00am,10:30 pm,11:00 am,11:00 pm,4:00pm,10:30 pm,4:00pm,10:30 pm,4:00 pm,3381513,No,4228,,,,,,,,,,,Expired,710  6TH ST,78701,30.27025454,-97.75005784,9,"(30.27025454,-97.75005784)",2012-057780 SO
Advertising Sound Amplification,600 N LAMAR BOULEVARD,MARCH,2018,Within 600 ft of Residential,2018,,85,,,,7PM,7PM,,CS-MU-V-CO-NP,2018-03-17,2018-02-23,2018-02-23,,,,,,,,,,,,,,,670858,,,2018-03-14,2018-03-15,2018-03-16,2018-03-17,,,,Noon,Noon,,Expired,600  LAMAR BLVD,78703,30.27180601,-97.75403099,9,"(30.27180601,-97.75403099)",2018-023443 SO
Advertising Sound Amplification,600 N LAMAR BOULEVARD,MARCH,2019,Within 600 ft of Residential,2019,,85,,,,7PM,7PM,,CS-MU-V-CO-NP,2019-03-16,2019-02-11,2019-03-07,,,,,,,,,,,,,,,670858,,,2019-03-13,2019-03-14,2019-03-15,2019-03-16,,,,Noon,Noon,,Expired,600  LAMAR BLVD,78703,30.27180601,-97.75403099,9,"(30.27180601,-97.75403099)",2019-022457 SO
Advertising Sound Amplification,SEDO Village,MARCH,2016,Other,2016,,85,,,,,,9:00pm,CBD - CENTRAL BUSINESS DISTRICT,2016-03-15,2016-01-28,2016-03-15,,,,,,,,,,,,,,,92390,,,2016-03-12,2016-03-13,2016-03-14,2016-03-15,,,,,,Noon,Expired,503  CESAR CHAVEZ ST,78701,30.26180577,-97.7397239,9,"(30.26180577,-97.7397239)",2016-009415 SO
Private Sound Amplification,600 W 7TH STREET,NOVEMBER,2018,Other,2018,,85,,,,,,10PM,GO-H,2018-11-01,2018-11-01,2018-11-01,,,,,,,,,,,,,,,129392,,,2018-11-01,,,,,,,,,6PM,Expired,600  7TH ST,78701,30.27094613,-97.74821105,9,"(30.27094613,-97.74821105)",2018-189793 SO
Advertising Sound Amplification,Pershing Music,MARCH,2015,Other,2015,,75,,,,,8:00pm,,LI - LIMITED INDUSTRIAL SERVICES,2015-03-15,2015-02-24,2015-03-13,,,,,,,,,,,,,,,323384,,,2015-03-15,,,,,,,,5:00pm,,Expired,2415  5TH ST,78702,30.25784354,-97.71570135,3,"(30.25784354,-97.71570135)",2015-021164 SO
Outdoor Music Venue,Little Woodrow's (Southpark Meadows),,,Other,2009,200,85,,,,,,,GR - COMMUNITY COMMERCIAL,,2009-06-02,2009-07-15,12:00 MDNT,,10:30 PM,,12:00 MDNT,,10:30 PM,,11:00 PM,,10:30 PM,,10:30 PM,,3219105,No,5077,,,,,,,,,,,Expired,9500 SB IH 35 SVRD,78748,30.16291061,-97.79312325,5,"(30.16291061,-97.79312325)",2009-057947 SO
Outdoor Music Venue,Little Woodrow's (On the Drag),,,Other,2009,273,70,,,,,,,GR - COMMUNITY COMMERCIAL,,2009-06-02,2009-07-15,Midnight,,10:00 PM,,Midnight,,10:30 PM,,11:00 PM,,10:30 PM,,10:30 PM,,517466,No,5077,,,,,,,,,,,Expired,2610  GUADALUPE ST,78705,30.29154201,-97.74146979,9,"(30.29154201,-97.74146979)",2009-057954 SO
Outdoor Music Venue,Little Woodrow's,,,Other,2009,124,85,,,,,,,CBD - CENTRAL BUSINESS DISTRICT,,2009-08-27,2009-11-10,Midnight,,10:00 p.m.,,Midnight,,10:00 p.m.,,11:00 p.m.,,10:00 p.m.,,10:00 p.m.,,129044,No,1850,,,,,,,,,,,Expired,520  6TH ST,78701,30.2697835,-97.74811227,9,"(30.2697835,-97.74811227)",2009-096780 SO
Outdoor Music Venue,Little Woodrow's,,,Other,2010,140,85,,,,,,,CBD - CENTRAL BUSINESS DISTRICT,,2010-11-10,2011-04-11,Midnight,,10:00 p.m.,,Midnight,,10:00 p.m.,,11:00 p.m.,,10:00 p.m.,,10:00 p.m.,,129044,No,1850,,,,,,,,,,,Expired,520  6TH ST,78701,30.2697835,-97.74811227,9,"(30.2697835,-97.74811227)",2010-096818 SO
Advertising Sound Amplification,Bud's Motorcycles 35th Anniversary Party,APRIL,2014,Other,2014,,85,,,,,8:00pm,,CS - GENERAL COMMERCIAL,2014-04-06,2014-04-02,2014-04-02,,,,,,,,,,,,,,,879518,,,2014-04-06,,,,,,,,2:00pm,,Expired,2612  CESAR CHAVEZ ST,78702,30.25373746,-97.71436486,3,"(30.25373746,-97.71436486)",2014-032527 SO
Outdoor Music Venue,Fado Irish Pub & Restaurant,,,Warehouse District,2010,248,85,,,,,,,CBD - CENTRAL BUSINESS DISTRICT,,2010-01-22,2010-03-16,2:00 a.m.,,2:00 a.m.,,2:00 a.m.,,2:00 a.m.,,2:00 a.m.,,2:00 a.m.,,2:00 a.m.,,177249,No,2300,,,,,,,,,,,Expired,214  4TH ST,78701,30.26706981,-97.74543152,9,"(30.26706981,-97.74543152)",2010-005783 SO
Outdoor Music Venue,Fado Irish Pub (Renewal),,,Warehouse District,2011,248,85,,,,,,,CBD - CENTRAL BUSINESS DISTRICT,,2011-02-22,2011-04-07,2:00 a.m.,,2:00 a.m.,,2:00 a.m.,,2:00 a.m.,,2:00 a.m.,,2:00 a.m.,,2:00 a.m.,,177249,No,2300,,,,,,,,,,,Expired,214  4TH ST,78701,30.26706981,-97.74543152,9,"(30.26706981,-97.74543152)",2011-013334 SO
Outdoor Music Venue,FADO'S IRISH PUB,,,Warehouse District,2012,248,85,,,,,,,CBD - CENTRAL BUSINESS DISTRICT,,2012-05-08,2012-06-26,2:00 a.m.,10:00 a.m.,2:00 a.m.,10:00 a.m.,2:00 a.m.,10:00 a.m.,2:00 a.m.,10:00 a.m.,2:00 a.m.,10:00 a.m.,2:00 a.m.,10:00 a.m.,2:00 a.m.,10:00 a.m.,177249,No,2300,,,,,,,,,,,Expired,214  4TH ST,78701,30.26706981,-97.74543152,9,"(30.26706981,-97.74543152)",2012-045125 SO
Outdoor Music Venue,Fado Irish Pub,,,Warehouse District,2014,248,85,,,,,,,CBD - CENTRAL BUSINESS DISTRICT,,2014-02-21,2014-03-12,2:00 a.m.,10:00 a.m.,2:00 a.m.,10:00 a.m.,2:00 a.m.,10:00 a.m.,2:00 a.m.,10:00 a.m.,2:00 a.m.,10:00 a.m.,2:00 a.m.,10:00 a.m.,2:00 a.m.,10:00 a.m.,177249,No,2300,,,,,,,,,,,Expired,214  4TH ST,78701,30.26706981,-97.74543152,9,"(30.26706981,-97.74543152)",2014-017478 SO
Outdoor Music Venue,Fado Irish Pub,,,Warehouse District,2015,248,80,,,,,,,CBD - CENTRAL BUSINESS DISTRICT,,2015-01-28,2015-03-12,2:00 a.m.,10:00 a.m.,2:00 a.m.,10:00 a.m.,2:00 a.m.,10:00 a.m.,2:00 a.m.,10:00 a.m.,2:00 a.m.,10:00 a.m.,2:00 a.m.,10:00 a.m.,2:00 a.m.,10:00 a.m.,177249,No,2300,,,,,,,,,,,Expired,214  4TH ST,78701,30.26706981,-97.74543152,9,"(30.26706981,-97.74543152)",2015-010192 SO
Outdoor Music Venue,Fado Irish Pub,,,Warehouse District,2016,248,85,,,,,,,CBD - CENTRAL BUSINESS DISTRICT,,2016-02-26,2016-03-16,2:00 a.m.,10:00 a.m.,2:00 a.m.,10:00 a.m.,2:00 a.m.,10:00 a.m.,2:00 a.m.,10:00 a.m.,2:00 a.m.,10:00 a.m.,2:00 a.m.,10:00 a.m.,2:00 a.m.,10:00 a.m.,177249,No,2300,,,,,,,,,,,Expired,214  4TH ST,78701,30.26706981,-97.74543152,9,"(30.26706981,-97.74543152)",2016-021035 SO
Outdoor Music Venue,Little Woodrow's Southpark Meadows,,,Other,2010,200,85,,,,,,,GR - COMMUNITY COMMERCIAL,,2010-08-10,2010-11-04,Midnight,,10:30 p.m.,,Midnight,,10:30 p.m.,,11:00 p.m.,,10:30 p.m.,,10:30 p.m.,,3301792,No,5077,,,,,,,,,,,Expired,9500 SB IH 35 SVRD,78748,30.16291061,-97.79312325,5,"(30.16291061,-97.79312325)",2010-068264 SO
Outdoor Music Venue,Red 7,,,6th Street District,2011,210,85,,,,,,,CBD - CENTRAL BUSINESS DISTRICT,,2011-02-01,2011-05-12,2:00 a.m.,,2:00 a.m.,,2:00 a.m.,,2:00 a.m.,,2:00 a.m.,,2:00 a.m.,,2:00 a.m.,,1134328,No,5000,,,,,,,,,,,Expired,611  7TH ST,78701,30.26713044,-97.73632998,9,"(30.26713044,-97.73632998)",2011-008136 SO
Outdoor Music Venue,Red7,,,6th Street District,2013,210,85,,,,,,,CBD - CENTRAL BUSINESS DISTRICT,,2013-01-07,2013-02-21,2:00am,10:00am,2:00am,10:00am,2:00am,10:00am,2:00am,10:00am,2:00am,10:00am,2:00am,10:00am,2:00am,10:00am,1134328,No,5000,,,,,,,,,,,Expired,611  7TH ST,78701,30.26713044,-97.73632998,9,"(30.26713044,-97.73632998)",2013-001373 SO
Outdoor Music Venue,Red7,,,6th Street District,2014,210,85,,,,,,,CBD - CENTRAL BUSINESS DISTRICT,,2014-02-19,2014-03-07,2:00am,10:00am,2:00am,10:00am,2:00am,10:00am,2:00am,10:00am,2:00am,10:00am,2:00am,10:00am,2:00am,10:00am,1134328,No,5000,,,,,,,,,,,Expired,611  7TH ST,78701,30.26713044,-97.73632998,9,"(30.26713044,-97.73632998)",2014-016082 SO
